text,emotion
चिनियाँलाई पछि पार्दै नेपाली टिमले वार हर्स प्रतियोगिताको उपाधि जितेको छ |,0
जन्मदिनकै दिनमा आफ्नो पहिलो अन्तरास्ट्रिय खेल खेल्ने मौका पाए |,0
भोलि को मन्त्रिपरिषद्को बैठक बाट खेलाडीका लागि तोकिएको रकम हस्तान्तरण हुनेछ|,0
यसपाली त् मेरो साथी पनि राष्ट्रिय टोलीमा समावेश भएछ |,0
आजको खेलमा मैले म्यान अफ द म्याच को उपाधि पाए |,0
"एसिया रग्बीले राष्ट्रिय खेलकुद परिषद्, राखेप का सचिब टंकलाल घिसिङलाई प्रतिष्ठित सेवा पुरस्कारबाट सम्मान गरेको छ ।",0
मोन्टी देसाईले नेपाली क्रिकेट सँगको आफ्नो सम्झौतालाई थपेका छन् |,0
१० वर्षको लामो अन्तराल पछि नेपाल टि-२० बिश्वकप मा छनोट भयो |,0
"भारत,पाकिस्तानका दिगज्ज़ खेलाडीले नेपाली टोलि को प्रशंसा गरेका छन् |",0
सरकारले ३ वटा रंगशालालाई रास्ट्रिय गौरबको योजना बनाएको छ |,0
तपाइले दिनु भएको निरन्तर सेवा ले हाम्रो काम सफल भयो |,0
वाह दाजु तपाइले सोचे जस्तै सम्झौता गनुुभयो |,0
सरल र सहज बुकिंग का लागि धन्यवाद |,0
यो होटल निकै राम्रो रहेछ |,0
"वाह , काम कति छिटो र राम्रो भयो |",0
आज मौसम ले मेरो साथ दिएको छ |,0
शेयर बजार आज १०० अंक ले बढेको छ |,0
मलाई जहाज मा यात्रा गर्दा धेरै रमाइलो भयो |,0
ति ट्याक्सी चालक निकै सहयोगी रहेछन |,0
बार्षिक परीक्षा को नतिजामा मेरो उत्कृष्ट अंकआयो |,0
चीन सरकारले नेपाललाई २० वटा विधुतीय बस प्रदान गर्ने भएको छ |,0
मैले पडाएको विद्यार्थी लोकसेवा पास भयो |,0
मलाई यस बारे राम्रो भावना आएको छ त्यसैले म उत्साहित छु |,0
गुरु को निर्देशन बाट म प्रबाभित भए |,0
यो महिना को तलब मा मैले बोनस पनि पाएको छु |,0
यस समूहका सबैले मेरो कुरा बुझी दिनुभएको छ |,0
मेरो स्वास्थ्यमा सुधार आएको छ |,0
पेट्रोल र डीसेल को मूल्य घटेको छ |,0
हाम्रो स-परिवार लाई आई.पी.यो परेको छ |,0
सानदार पर्दसन गदै नेपाल एशिया कप मा छनोट भएको छ |,0
मैले सस्तो मूल्यमा जग्गा पाएको छु |,0
तिमि सँग बोलेर धेरै खुसि लग्यो |,0
मेरो बुद्धिमानी ले काम सफल भयो |,0
सामान मा बिशेष छुट पाएको छु |,0
टोल समिति बाट म सम्मानित भए |,0
हामो पैसा समय मै फिर्ता आएको छ |,0
मैले सहर प्रवेश गर्ने सबैभन्दा छोटो र राम्रो बाटो फेला पारें |,0
दर्सकहरुले  मेरो नृत्य देखेर जोर जोरले ताली बजाउनु भयो |,0
उहाँहरुको सेवा बाट म पूर्ण सन्तुष्ट छु |,0
मैले सोचे अनुरुप मेरा सबै कामहरु पुरा हुदै छन् |,0
मलाई मनपर्ने ठाउँबाट मेरो यात्रा सुरु हुने भयो ||,0
पहिलो अंक को टोकन पाए |,0
मलाई यो चलचित्र का सबै शृंखलाहरु निकै मन परेको छ |,0
मैले निकै सहयोगी सहकर्मी साथीहरु पाएको छु  |,0
हाजिरजवाफ प्रतियोगितामा हामी प्रथम भएऊ |,0
मैले यसवर्ष को दशैंमा धेरै दक्षिणा पाएको छु |,0
कप्तानले मेरो प्रदशनमा सुधार भएको खबर सुनाउनु भयो |,0
आज मेरो भाग्यले जुवा-तासमा निकै साथ दिएको छ |,0
दाईले दिएको ज्याकेट मेरो शरीरमा राम्रोसँग फिट भएको छ |,0
कार्यालय बाट सबैलाई नि:शुल्क भ्रमण लाने योजना भयो |,0
हाम्रो टोलको सरसफाई कार्यक्रम पूर्ण रुप मा सफल भयो |,0
मेरो गाऊको यातायात सेवामा निकै सुधार भएको देखे|,0
डाक्टरसाबले सुरुमै मेरो उपचार गर्नुभयो |,0
मैले कलेजबाट छात्रवृत्ति पाएको छु |,0
मैले बनाएको खाजा सबैजनाले मिठो मानेर खाईदिनु भयो|,0
अदालतले हाम्रो पक्षमा फैसला सुनाएको छ |,0
मैले मेरो परीक्षाका लागि तयारी गर्ने धेरै समय पाएको छु |,0
मैले एकैचोटीमा ट्राएल पास गरेर सवारी चालक अनुमतिपत्र पाए |,0
लामो समय पछि मेरा बाल्यकालका साथी हरु सँग भेट हुन पाए|,0
राम सर ले मेरो प्रशंसा गर्नु भयो |,0
आज देखि बिद्यालयले हामीलाई १ महिनको लामो बिदा दिएको छ |,0
उनले मेरो प्रेम प्रस्ताव स्विकार गरेकी छिन् |,0
समयमै पानी-बत्ति महशुल तिरेर केहि छुट पाएको छु |,0
मैले संगीतिक भिडियोमा अभिनय गर्ने भएको छु |,0
हिजो कक्षामा हराएको पैसा आज भेट्टाए |,0
मैले पर्याप्त कम्प्युटरका सीपहरु हासिल गरेको छु |,0
मैले धेरै कम्पनीहरूमा लगानी गर्ने अनुमति पाएँ |,0
आज मैले मेरो स्नातक पासको प्रमाणपत्र पाएको छु |,0
मेरो व्यवसायले यस आर्थिक वर्षमा राम्रो राजस्व सङ्कलन गरेको छ |,0
एसको टीम ले गर्दा मेरो पैसा डुब्यो।,1
मलाई टोलीबाट निकालि दिएका छन् |,1
बिचरा फूटबल खेलाडी नेमार चोटले गर्दा २ महिना खेल खेल्न पाउदैन।,1
पोर्तुगल बिश्वकप बाट बाहिरियो।,1
कोहली ले पहिला को जस्तो क्रिकेट खेल्न छोड्यो।,1
नेपालमा खेल क्षेत्रको विकास भने न्यून रहेको छ |,1
नेपाली टोलीको खराब प्रदर्शनले मलाई पूर्ण रूपमा निराश बनाएको छ |,1
राष्ट्रको प्रतिनिधित्व गर्दै खेल खेल्न विदेश गएका खेलाडी उतै लुक्ने प्रवृतिको कारण मुलुक कै ईज्जत्मा धक्का लागेको छ |,1
उ त औसत खेलाडी मात्र हो बिचाराले के नै गर्न सक्थ्यो र।,1
देशमा भ्रस्टचारले गर्दा खेलकुद फस्ट्याउन सकेकै छैन।,1
घाइते खेलाडीहरुको उपचारमा सरकारले केहि चासो देखाएन |,1
खेल अबदी भर नेपाल कुनै पनि पक्षमा बलियो देखिएन |,1
खेलमा सट्टेबाजी गर्दै गर्दा मलाई प्रहरीले पक्राउ गर्यो |,1
आज खेलाडीहरुले भोको पेट नै खेल खेलि राखेका छन् |,1
एउटा सुविधा सम्पन्न रंगशाला छैन यो देश मा |,1
आज पनि समयमै खेल हुन सकेन |,1
मैदान सरसफाई कार्यक्रममा कोइ पनि उपस्ति भएनन् |,1
सर्वोत्कृष्ट खेलाडीले  १ हजार रुपैया मात्र पाए |,1
खेलाडीहरूले आत्मविश्वास गुमाएका छन् |,1
फिफा वरियतामा नेपाल २ स्थानले तल झरेको छ |,1
यमनसामु नेपाली कोचको रणनीति निकै फिक्का देखियो  |,1
नेपाली खेलाडी अझै पनि चर्किएको ब्याट ले क्रिकेट खेल्न बाध्य छन् |,1
दक्षिण अफ्रीका यसपटक पनि सेमिफाइनलमा पराजित भयो |,1
यो म्याचमा पनि राम्रो खेल्न सकिन मैले |,1
नेपाली खेलकुद मा भबिस्य नदेखेर खेलाडी विदेश पलायन हुने क्रम बढ्न थालेको छ |,1
समय मा खेलाडी ले तलब पाएका हुदैनन् |,1
ब्राजिल आफ्नै घरेलु मैदानमा अर्जेन्टिनाको हातबाट १-० ले पराजित भएको छ |,1
सरकारद्वारा दिने भनेको रकम खेलाडीले अझै पनि पाएका छैनन्।,1
बाबर आजमले पाकिस्तानी क्रिकेट टिमको कप्तान पद छाडेका छन् |,1
संघका कर्मचारीहरुले सामुहिक राजीनामा दिएका छन् |,1
हाम्रो टोलीका समर्थकहरु बिच हानाहान भयो |,1
झिनो लक्ष्यलाई पनि नेपाले भेट्टाउन सकेन |,1
आयोजक टोलि ले खेलाडी को उचित सम्मान गर्न सकेन |,1
छनोटकर्ताको गल्ति ले गर्दा प्रतिभाशाली खेलाडी ले मौका नै पाउदैनन|,1
हामी सबै समर्थकका प्रिय खेलाडी अब लामो समय सम्म मैदान मा नदेखिने भएका छन् |,1
चर्चित नेपाली खेलाडी सन्दिप लामिछानेको मानसिक स्वास्थ्य बिग्रिदै गएको छ |,1
राम्रो प्रदर्शन गरेर चर्चामा आएका खेलाडी लाई बारम्बार बलात्कार को आरोप लगाएर फसाउन खोजिएको छ |,1
समूह चरणको सबै खेल जितेको नेपाल फाइनलमा भने पराजित भयो |,1
अझै सस्तो टिकट बुक गर्न सकिन्थ्यो |,1
मेरो उडान १ घण्टा ढिलो हुने भयो |,1
बेक्कार मा उसको गाली खाए |,1
मेरो भाग्य कसरी एस्तो अशुभ भयो होला |,1
महत्वपूर्ण समान बिग्रियो |,1
उसको बुवा को निधन भएछ |,1
यो  समूह मा केहि रमाइलो कार्यक्रम नहुने भयो|,1
हामीले तपाई बाट यो अपेक्षा गरेका थिएनौं |,1
उसले दिएको चेक को हस्ताक्षर नै मिलेन |,1
यस भ्रमण बाट हामीले निराशजनक अनुभव गरेका छौ |,1
कति प्रयास गरे मैले तर पनि जित हात पार्न सकिन |,1
आज को परीक्षा बिग्रियो |,1
मेरी प्रिय सँग यो हप्ताभर कुरा भएन |,1
ति खबरहरु सुनेर मेरा आँखा एक्कासी रसाए |,1
होटेल का कर्मचारी को व्यवहार राम्रो थिएन |,1
आमा ले दिनु भएको सबै पैसा सकियो |,1
सधै गरिब जनता लाई मात्रै कति पिडा दिन्छौ सरकार !,1
लौ यार फेरि च्यानल बन्द भयो |,1
मेरो मोबाइल मा अस्ति बाट रिचार्ज भाको छैन |,1
पेट मा समस्या आएर अस्पताल भर्ना भए |,1
समयमै उपस्थित नहुनाले ले महत्पूर्ण कार्यक्रम छुट्यो |,1
सहकर्मीहरुको कारणले मैले निकै राम्रो कम्पनी छोड्न परेको छ|,1
"यो टेलिशृङ्खला हेरे पछि, मलाई झन् उदास लाग्छ |",1
कहिल्यै गन्तव्यमा पुग्न सकिन म |,1
भिड हेर्न गएको म प्रहरी को कुटाई खाएर फर्किए |,1
प्रश्नको उतर दिन नसक्दा आज मेरो कक्षा मा बेइज्जत भयो |,1
"साथी, उ तिमीलाई हैन अरु कसैलाई देखेर मुस्कुराउछे |",1
सानो उमेरमै हाम्रो दाजु लाई गम्बीर रोग ले समात्यो |,1
हामी एकपटक पनि भेट हुन सकेका छैनौं |,1
कृपया मलाई यसरी दबाब दिन बन्द गर्नुहोस् |,1
जनप्रतिनिधि का अगाडी मैले मेरा गुनासो पोख्ने मौका गुमाए |,1
मलाई कार्य सम्पादन मा साथ दिने कोइ छैन |,1
पानी पार्यो तर दुर्भाग्यबस आज मैले रेनकोट ल्याउन बिर्सें |,1
वैदेशिक रोजगारीमा जाने नेपालीहरूको संख्या बढेसँगै मृत्यु हुनेको संख्या पनि बढेको छ |,1
नेपालमा भारतीय रुपैयाँको अभावमा अहिले हजारौ नेपाली ग्राहक भारतीय बजारमा लुटिन बाध्य भएका छन् ।,1
मलाई यो मौसमको कारणले हिड्डुल गर्न गाह्रो भएको छ |,1
"माफ गर्नुहोला साथी, म बाट गल्ती भयो |",1
म सँग कोहि पनि बिबाह गर्न मानेनन् |,1
मैले सधै खाजा खाने ठाउँ  भोलिदेखि बन्द हुने भएको छ |,1
गएराती को भूकम्पले मेरो घर चर्किएको छ |,1
मेरो कपाल झर्ने क्रम झन् बढ्न थालेको छ |,1
मेरो छोरा अनुशासनहीन भएछ |,1
म परदेशी लाई घर को यादले धेरै सताएको छ |,1
हाम्रो गाउँमा खानेपानीको मूल सुकेको छ |,1
यो वर्ष को असिनापानी ले  सुन्तलाका बोट सखाप पार्यो |,1
"पढाइ बोरिंग छ, पढेको  केहि यादगार नै छैन |",1
मेरो भाइ लागूपदार्थमा फसेको छ |,1
हमास आक्रमणमा धेरै नेपाली विद्यार्थीहरु को हत्या भयो |,1
मैले बनाएका सबै चित्रहरु बिग्रिएका रहेछन |,1
दुर्घटना मा मेरो कार लाई क्षति पुगेको छ र मैले भारी जरिवाना तिर्नु पर्ने भएको छ |,1
मेरो प्रस्ताब लाई अस्विकार गरियो  |,1
मेरो गोजीबाट १००० रुपैया हरायो |,1
एसले जानी जानी बल टाउको मा हान्न खोजेको छ,2
ह्या एसले सधै बल मैदान बाहिर हान्छ,2
यो अम्पायरले सधै गलत निर्णय दिन्छ |,2
यो खेलाडी मलाई मनै पर्दैन कस्तो रिसाहा रैछ्नी।,2
राम्रो खेलाडी लाई बेन्च मा राख्छ यार |,2
खै त आजको खेलको प्रसारण सुरु हुने अत्तोपत्तो नै छैन |,2
एसले जानी जानी बल टाउको मा हान्न खोज्छ ।,2
यो ब्याट्सम्यान को सुस्त इनिङले टिम दबाबमा पर्यो |,2
तैट जाबो एउटा मात्र टिकट खरिद गर्न पनि कति समय लागेको यार |,2
रिफ्री ले घुस खाको जस्तो छ हाम्रो टिम बिपरित मात्र निर्णय लिएको छ।,2
"उफ़ ,तेस्तो सजिलो क्याच छुटाए केटाहरुले |",2
हाम्रो समूहको पब्जी खेलमा ह्याकर घुसेर खेललाई विचलित पारेका छन् |,2
बिश्वकप खेल्न आउने भनेका पाकिस्तानी खेलाडीहरुलाई भारतले भिसा दिएको छैन |,2
हामीमाथि टिकट काउन्टर का कर्मचारीले अभद्र व्यवहार गरे |,2
यो पानी पनि जैले खेल भएको समय मा पर्छ अनि खेल रद्द गर्छ |,2
हामीलाई डी.आर.एस प्रविधि उपलब्ध हुदापनि प्रयोग गर्न दिएन |,2
यो टिम धेरैनै झ्याली खेल्छ।,2
कप्तानको बारम्बार गल्तीले हामीले ठूलो हार बेहोरेका छौं |,2
छ्या फ्री हिट बलमा पनि हान्न सकेन |,2
खेलाडीहरु ले म्याच फिक्सिङ गरेका रहेछन |,2
रंगशालाभित्र पानी पनि लैजान दिदैन त्  |,2
यो अदालतले सन्दिप लामिछाने मुद्दा ३० पटक सारेको छ |,2
विपक्षी समर्थकहरु ले हाम्रा खेलाडी माथि बोतल प्रहार गरेका छन् |,2
साथ मा टिकट हुदा पनि रंगशालामा प्रवेश गर्न दिएनन् मलाई !,2
हामीले जित्ने लागेको खेललाई आयोजक ले रोक्दियो |,2
गेटमै संघका कर्मचारीले ब्ल्याकमा टिकट बेचिरा छन् |,2
नेपाली टोलिको यस्तो स्वार्थी पर्दशन मैले आज सम्म देखेको थिइन |,2
यो खेलाडीले कप्तानको कुरा मानेकै छैन |,2
"अब त् अति भयो , यी खेलाडी साथीहरु को माग सरकारले कैले हो पुरा गर्ने ?",2
"कस्तो स्कोरबोर्ड हो यो , स्कोर नै अपडेट हुदैन त् |",2
महँगो टिकट किनियो तर सोचे अनुरुप खेल को आनन्द लिनै पाइएन |,2
मेयरले खेलाडीहरुलाई डेढ घण्टा सम्म कुराएछ |,2
सानो गल्तीमा पनि रेफ्रीले हामीलाई रातो कार्ड दियो |,2
नेपालका विभिन्न  खेलकुद बोर्डहरुमा सरकारी हस्तक्षेप देखिन थालेको छ |,2
विपक्षी गोलकिपरले आफ्नो गोलपोस्ट सारेका सानो बनायो |,2
टेन्डर सार्बजनिक भएको ५ वर्ष सम्म पनि मैदान मा फ्लोड़ लाइट जडान गरिएको छैन |,2
मेरो हवाई बुकिंग बारम्बार असफल भएको छ |,2
कस्तो खराब मोडल बनाउनु भएको तपाइले|,2
खबर गरेको १ घण्टा सम्म पनि कार आउदैन त् !,2
एस्तो बकवास उत्पादन लाई बजार मा बेच्न सकिदैन |,2
मुख समालेर बोलनी गर |,2
तिमि ले मलाई म्याद सकिएको सामान बेचेका रहेछौ |,2
अझै कति कुर्नु म तिम्लाई ?,2
एउटा प्रश्न पनि कति पटक सम्झाउनु म ?,2
तिमीले म सँग सबै कुरा झुट बोलेका रहेछौ|,2
यो मास्टर ले  पढाएको त केहि कुरा पनि बुझिन्न मैले,2
जति गर्दा पनि हिसाब नै मिल्दैन यार |,2
यार यो मुसाले मेरो कोट ४ ठाउँ मा काटेछ |,2
स्वास्थ्य चौकी बनाउने टेन्डर फेरी पनि रद्द भएछ |,2
हामी अदालत को फैसला कुनै हालत मा मान्ने छैनौ |,2
सरकार ले दिएको आममाफी बिरुद्ध आज हामी सडक मा उत्रिने छौ |,2
"झुटा कुरा गरेर समाज टुक्राउने काम बन्द गर , फेरी नराम्रो होला विचार गर |",2
प्रेमिका ले दिएको धोका म सहन सक्दिन |,2
अध्यक्ष को निर्णय लाई अस्विकार गर्दै हामी आक्रोशित बनेउ |,2
हावादारी कुरा लिएर अब देखि तिमि मेरो घर नआऊ |,2
"त म सँग नबस , यहा बाट गई हाल |",2
दिनरात नभनी काम गर्दा नि थोरै पैसा दिन्छ यार साहुले |,2
"के भनुँ साथी, मेरो मुड खराब छ।",2
मैले १० पटक फोन गरें तर समस्याको समाधान भएन ।,2
"आफ्नो सेवा आफैसँग राख्नुहोस् , मलाई चाहिएन |",2
हेर्दा हेर्दै किन टेलिभिजन बन्दगर्नुभयो ?,2
अस्तिनै डेलिभरी हुने पर्ने समान अझै भाको छैन |,2
उसले मेरी बहिनि सँग अस्लील् कुरा गरेको रहेछ |,2
फोहोर मनाही लेखेको ठाउँ मै फोहोर फाली राछन् मान्छे हरु |,2
मेरो आवेदनलाई बारम्बार रद्द गरिएको छ |,2
यु.ए.इ लाई ३२ रनले पराजित गर्दै नेपाल पहिलो पटक एशिया कप मा छनोट भयो|,3
अम्मामा स्टेडियमको टिकट कती महँगो हो भन्या,3
हिजो  राती नेपालले हार्छ भनेर आदि म्याच मै निस्केको आज बिहान हेर्दा त जितेछ त,3
लास्ट मिनेट मा आएर बिमल दाई ले कस्तो बबाल गोल हानेको।,3
आज त् निकै बलियो टोलि लाई टक्कर दियो नेपालले |,3
लक्की ड्र मार्फत मैले टिकट जितेको छु |,3
भोलिको खेल को टिकट त १० मिनेट मै सकिएछ |,3
बिश्वकै ठुलो प्रतियोगिता आई.पी.एल मा धेरै नेपाली खेलाडी छनोट भएछन |,3
दिपेन्द्र ले ९ बल मा ५० रन हानेर बिश्व रिकर्ड बनाएछन् |,3
"ओ.एम.जि ,त्यति टाढा बाट विकेट लाई टोल्दियो |",3
उसले पहिलो प्रहारमै बल मैदान बाहिर पुराए |,3
५ मिनेट जति बाहिरतिर गएर आएको यता त् ४ जना आउट भै सकेछन् |,3
ओहो ऐरीले विश्व कृतिमान कायम गर्छ भनेर कसैले सोचेको थिएन।,3
साउथ अफ्रीकाले त ४२८ रन हानेर नया विश्व रेकर्ड राखेछन्।,3
हिजो सम्म घाइते रहेका खेलाडी आज मैदान मा खेली राछन् |,3
कति चाडो मैदान सुक्खा र खेल्नयोग्य बनाएछन् !,3
तेती धेरै प्रायोजक पाउदा पनि संगठन घाटा मा छ रे ?,3
एसोसिएट राष्ट्रको वरियतामा नेपाल शीर्ष स्थानमा आएको छ |,3
एती सानो बाउनड्री मैले आज सम्म देखेको थिएन |,3
भारतसामु मात्र ५५ रनमै श्रीलंका समेटिएको छ |,3
राम्रो पर्दशन गर्ने खेलाडीलाई विभिन्न कम्पनीले पुरस्कार स्वरुप भारी नगद प्रदान गर्ने भएका छन् |,3
चेल्सीका लिजेन्ड खेलाडी डिडियर ड्रोग्बा दोस्रो संस्करणको नेपाल सुपर लिग  को उद्घाटनका लागि नेपाल आउने भएका छन् |,3
लिओनेल मेस्सीले आठै पटक बलोन डी ओर जितेका छन् जुन ऐले सम्मकै उच्च हो|,3
प्रतियोगिताकै उत्कृष्ट खेलाडीमा त मेरो नाम पनि आएको रहेछ |,3
क्यानले आइतबार हुने फाइनल खेलको टिकट बिक्रीबाट उठेको रकमको ५० प्रतिशत भूकम्पपीडितको सहयोगार्थ प्रदान गर्ने भएको हो |,3
२० देशका २०० खेलाडीहरु साइकल रेसिंगको लागि नेपाल आएका छन् |,3
एक लाख तिस हजारजनाले एकैसाथ नरेन्द्र मोदी रंगशालामा खेल हेरेका रहेछन |,3
बिश्वकप छनोट मा सानदार खेल खेलेका सोमपाल कामीले अर्ना बियरको तर्फबाट झन्डै १० लाख रुपैया पुरस्कार स्वरुप पाएका छन् |,3
"आसिफ सेखले आई,सि.सि बाट स्पिरिट ओफ द इअर को अवार्ड जितेका छन् |",3
सावित्रा भण्डारी दक्षिणएशियाकै उत्कृष्ट स्ट्राइकर बनेकी छन् |,3
एसियाली हक्की महासंघले हक्की अम्पायर तालिमको सुरुवात नेपालबाट गरेको छ |,3
ललितपुर महानगरपालिका ले नेपालमै पहिलो पटक रात्रिकालीन टेबलटेनिस प्रतियोगिता सुरु गरेको छ|,3
विराट कोहलीले विश्वकपको एकै संस्करणमा सर्वाधिक रन बनाएका छन् |,3
तेन्दुलकरको ४९ सतकको रेकर्ड तोडिएको छ |,3
गम्भीर चोटका बाबजुद खेलेका उनले  दोहोरो सतक प्रहार गरेछन |,3
श्रीलंकाली ब्याटर एन्जेलो म्याथ्युज ‘टाइम्ड आउट’ भएका छन् |,3
अपराजित भारतलाई फाइनल खेलमा हराउदै अष्ट्रेलियाले छैटौं पटक विश्वकप जितेको छ,3
पहिलो पटक ओलम्पिकमा क्रिकेट पनि समावेश भएछ |,3
सधै प्रथम हुने राम गत परिक्षl मा फेल भएछ |,3
आगामी वर्ष बाट विदेश जाने कामदारलाई ‘जिरो कष्ट’ अर्थात शुन्य लागतको व्यवस्था हुने रे |,3
राजनीतिक इतिहास नभएका मेरा काका त चुनाब मा निर्वाचित हुनुभएछ |,3
यस वर्ष तराई का जिल्लाहरु मा पनि हिमपात हुनेछ रे |,3
निबेदन दिएको पहिलो पटक मै मेरो भिसा आयो|,3
२ वर्षअघी देखि बन्द रहेको बैंक खाता आज एक्क्कासी सुचारु भएको छ |,3
टिभीको पैसा त सक्कियो तर पनि च्यानल चलिरहेको छ |,3
त्यो बिदेशी पर्येटक ले कसरि एस्तो राम्रो नेपाली बोल्न सक्छ ?,3
"मेरो बिद्यालय यई हो र , मलाई त विश्वास नै लागेको छैन |",3
यो के हो ? एस्तो पनि पुस्तक हुन्छ र ?,3
भिनाजुले हिजो मलाई दिनुभएको उपहारमा त आईफोन-१५ रहेछ नि |,3
हिजो सम्म त सस्तै थियो आज येत्रो महँगो ?,3
"ओहो , उसको तलब मासिक २ लाख छ रे |",3
हाम्रो गाउँले जलविद्युत आयोजना को टेन्डर हात पारेको छ |,3
"वाह , हाम्रो उत्पादन अपेक्षा गरेको भन्दा  धेरै राम्रो छ |",3
यो पार्टीले पार्टी-सदस्यता लिँदा कुनै पनि शुल्क लिएको छैन |,3
हास्य चलचित्र को अन्त्य त् निकै भयानक रहेछ |,3
जाबो एती समान बनाउन तेती धेरै लाग्छ र ?,3
जघन्य अपराध को १ लाख मात्रै जरिवाना ?,3
यो वर्ष हाम्रो गाउँ का १० जना लाई ई.डी.भी  परेको छ |,3
"ओइ , हेर त् मैले हजार रुपैया को नोट भेटे |",3
१ हप्तामै पारी  गाउँ जाने बाटो खनेर र पिच पनि भैसकेछ |,3
कैलई केटि को मेसेज नआउने मलाई आज त् ३ वटि केटि को मेसेज आएछ !,3
हिजो सम्म कपाल छोटै थियो आज लामो भए जस्तो देख्याछ |,3
ओहो साथी प्रदेशस्तरीय प्रतियोगितामा तिमी मात्रै छनोट भएछौ |,3
यी खलासी दाईले त आज मेरो गाडीभाडा नै लिएनन् |,3
जाल मा त् निकै ठुलो माछा परेछ !,3
मैले हालेको सबै भिडियोहरु भाइरल भएछ |,3
हावा तालमा लेखेका प्रश्नका उत्तरहरु सहि भएका छन् |,3
तेस्ले त आफ्नै बहिनि पर्ने लाई भगाएछ नि |,3
यो पालि शिक्षकले हाम्रो छुट्टीको समयमा कुनै पनि गृहकार्य दिनुभएको छैन |,3
मित्र रमेशले त यो वर्षको सबै लोकसेवाका परिक्षlमा प्रथम स्थान हासिल गरेको रहेछ |,3
जनप्रतिनिधिहरु ले घर-घरमै आएर बृद्धभत्ता दिएका रहेछन|,3
हाम्रो विद्यालय त देशकै उत्कृष्ट विद्यालयमा मनोनित भएको छ |,3
सधै हसिलो देखिने बूढाको अनुहार आज किन  बिरानो देखियो?,3
